x,y
0,-649.443359375
99,-663.461669921875
199,-663.4619140625
299,-663.50244140625
399,-663.44677734375
499,-663.179443359375
599,-663.0047607421875
699,-663.494140625
799,-663.3001098632812
899,-663.3202514648438
999,-663.4955444335938
1099,-663.4421997070312
1199,-663.3258056640625
1299,-662.5697021484375
1399,-663.4471435546875
1499,-663.4822387695312
1599,-662.1353759765625
1699,-663.4636840820312
1799,-663.44921875
1899,-663.1351318359375
1999,-663.26513671875
2099,-663.4207763671875
2199,-663.411865234375
2299,-663.4776611328125
2399,-663.4486083984375
2499,-662.8076171875
2599,-663.3509521484375
2699,-663.3687133789062
2799,-663.0137939453125
2899,-663.438232421875
2999,-663.1934204101562
3099,-663.304443359375
3199,-663.0438232421875
3299,-663.5076904296875
3399,-663.4892578125
3499,-662.9163818359375
3599,-663.4085693359375
3699,-663.2333984375
3799,-663.1314086914062
3899,-663.4575805664062
3999,-663.0086059570312
4099,-660.2144165039062
4199,-663.2765502929688
4299,-663.2484741210938
4399,-663.3472290039062
4499,-662.9012451171875
4599,-663.4702758789062
4699,-663.4852905273438
4799,-662.7354736328125
4899,-662.6466674804688
4999,-663.3544921875
5099,-663.3706665039062
5199,-663.4461059570312
5299,-663.2396240234375
5399,-663.1326904296875
5499,-663.2376098632812
5599,-663.436279296875
5699,-663.142822265625
5799,-663.4637451171875
5899,-663.4642944335938
5999,-662.9577026367188
6099,-660.3600463867188
6199,-662.894775390625
6299,-663.235595703125
6399,-662.8721923828125
6499,-662.017333984375
6599,-663.4210815429688
6699,-663.4805908203125
6799,-663.4734497070312
6899,-663.0989990234375
6999,-663.0556640625
7099,-663.4779052734375
7199,-663.4822998046875
7299,-663.2200317382812
7399,-663.4207763671875
7499,-663.3098754882812
7599,-662.7574462890625
7699,-663.1915283203125
7799,-663.4813232421875
7899,-662.265625
7999,-663.3053588867188
8099,-663.4461669921875
8199,-661.3644409179688
8299,-663.4595336914062
8399,-663.217041015625
8499,-663.4804077148438
8599,-663.1461181640625
8699,-663.3603515625
8799,-661.951171875
8899,-663.2579345703125
8999,-663.2063598632812
9099,-663.2713623046875
9199,-663.1693725585938
9299,-663.36328125
9399,-663.412353515625
9499,-663.28857421875
9599,-663.4853515625
9699,-662.967041015625
9799,-663.4076538085938
9899,-663.3338012695312
9999,-663.1814575195312
10099,-663.3914794921875
10199,-663.0149536132812
10299,-662.9186401367188
10399,-663.3156127929688
10499,-663.2325439453125
10599,-663.4241943359375
10699,-663.3975830078125
10799,-663.483154296875
10899,-663.4413452148438
10999,-663.4186401367188
11099,-663.336669921875
11199,-663.0704956054688
11299,-663.4630737304688
11399,-662.8456420898438
11499,-663.401611328125
11599,-663.3737182617188
11699,-663.3868408203125
11799,-663.4835815429688
